UF,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MT,"1,452","1,333","1,368","1,670","1,797","1,850","1,912","2,000","2,080","2,100","2,170","2,000","2,160","1,930","2,370","2,400","2,450","2,490","2,370","2,460","2,730","2,750","2,800","3,020","3,090","3,020","2,930","2,864","2,938","2,695","2,997","3,145","3,082","3,015","3,190","3,130","3,010","3,069","3,136","2,848","3,273","3,394","3,346","3,489"
MS, -  ,955,"1,482","1,600","1,740","1,765","1,900","1,785","1,960","1,540","1,950","2,070","2,200","1,600","2,270","1,990","2,090","2,200","2,210","2,420","2,500","2,100","2,600","2,100","2,940","2,750","2,900","1,850","1,902","2,280","2,810","2,639","2,436","3,100","2,937","2,550","2,880","2,900","3,120","2,980","3,400","3,593","2,980","3,530"
GO,"1,324","1,010","1,758","1,820","1,459","1,800","1,900","1,615","1,835","1,825","1,900","1,857","2,000","1,500","2,100","2,200","2,000","2,190","1,900","2,250","2,500","2,520","2,580","2,800","2,700","2,850","2,930","2,390","2,624","2,570","2,790","3,002","2,963","2,880","3,140","3,120","2,965","2,900","2,594","3,120","3,300","3,480","3,290","3,516"
DF, -  , -  , -  ,"2,100","1,667","1,900","2,100","1,857","2,029","1,717","2,055","2,000","2,179","1,488","2,350","2,265","2,000","2,233","1,944","1,945","2,400","2,420","2,243","2,763","2,100","2,690","2,770","2,670","3,198","2,699","2,712","3,150","3,200","3,196","3,200","3,200","3,395","3,000","2,626","3,300","3,450","3,540","3,300","3,900"
SUDESTE,"1,651","1,314","1,567","1,838","1,797","1,856","1,965","1,722","1,964","1,863","1,967","1,965","2,150","1,582","1,986","2,079","2,134","2,127","2,033","2,084","2,276","2,206","2,512","2,229","2,452","2,684","2,732","2,449","2,512","2,409","2,727","2,853","2,778","2,801","2,824","2,899","3,086","2,520","2,775","3,255","3,467","3,625","3,147","3,570"
MG,"1,118","1,223","1,650","1,700","1,500","1,700","1,800","1,600","1,980","1,810","1,930","1,975","2,030","1,500","2,040","2,200","2,100","2,057","1,980","1,970","2,250","2,300","2,315","2,350","2,330","2,680","2,670","2,495","2,700","2,340","2,760","2,916","2,961","2,818","2,845","2,987","3,010","2,687","2,658","3,220","3,480","3,676","3,222","3,572"
ES, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , - , - , - , - , - , - , - , -  , -  , -  , -  , -  
RJ, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , - , - , - , - , - , - , - , -  , -  , -  , -  , -  
SP,"1,753","1,333","1,551","1,875","1,901","1,924","2,055","1,800","1,950","1,910","2,000","1,955","2,270","1,665","1,935","1,960","2,170","2,200","2,090","2,190","2,300","2,100","2,730","2,100","2,600","2,690","2,820","2,385","2,240","2,520","2,670","2,750","2,459","2,772","2,788","2,744","3,220","2,246","2,970","3,316","3,445","3,546","3,029","3,567"
SUL,"1,776","1,269","1,192","1,693","1,799","1,444","1,651","1,631","1,721","1,091","1,771","1,486","1,831","1,857","1,124","1,925","2,142","2,086","2,271","2,086","2,094","2,314","2,111","2,085","2,718","2,293","2,850","1,979","1,538","2,200","2,782","2,519","2,223","2,881","3,124","2,037","3,038","2,792","3,071","3,047","3,542","3,264","3,184","2,854"
PR,"2,091","1,341","1,723","2,240","2,230","1,940","2,110","1,870","2,050","1,200","2,170","2,220","2,100","2,000","1,840","1,900","2,360","2,525","2,610","2,700","2,630","2,550","2,789","2,516","3,060","2,887","3,016","2,550","2,340","2,422","2,995","2,991","2,337","3,139","3,360","2,453","3,348","2,950","3,294","3,090","3,731","3,508","2,989","3,774"
SC,"1,368","1,076",896,"1,400","1,349","1,155","1,050","1,370","1,340","1,250","1,300","1,420","1,450","1,540",833,"1,800","1,820","2,000","2,180","2,200","2,330","2,350","2,000","2,517","2,690","2,265","2,887","2,139","1,840","2,400","2,930","2,535","2,530","3,060","3,250","2,420","3,080","3,030","3,200","3,341","3,580","3,400","3,585","3,370"
RS,"1,619","1,246",911,"1,400","1,595","1,180","1,458","1,515","1,570","1,000","1,600","1,040","1,700","1,800",720,"1,950","2,030","1,800","2,040","1,570","1,620","2,100","1,520","1,650","2,395","1,700","2,680","1,400",698,"1,960","2,550","2,028","2,070","2,570","2,845","1,555","2,714","2,605","2,835","2,970","3,360","3,013","3,321","1,937"
NORTE/NORDESTE, -  , -  , -  ,"1,158","1,583",333,900,"1,300","1,159","1,321",869,"1,540","1,597",751,"1,993","1,486","1,623","2,024","2,199","1,737","2,146","2,140","2,105","2,432","2,174","1,947","2,121","2,657","2,736","2,415","2,652","3,004","2,648","2,873","3,176","2,917","2,400","2,648","2,887","2,004","3,095","3,417","3,097","3,302"
CENTRO-SUL,"1,748","1,250","1,251","1,700","1,781","1,536","1,728","1,675","1,813","1,370","1,871","1,697","1,968","1,778","1,568","2,048","2,173","2,186","2,222","2,198","2,307","2,399","2,385","2,392","2,798","2,619","2,875","2,302","2,200","2,419","2,840","2,795","2,627","2,933","3,108","2,617","3,012","2,884","3,016","3,004","3,410","3,389","3,226","3,260"
BRASIL,"1,748","1,250","1,251","1,700","1,781","1,536","1,728","1,674","1,808","1,369","1,851","1,693","1,953","1,740","1,580","2,027","2,150","2,179","2,221","2,175","2,299","2,384","2,367","2,395","2,751","2,567","2,816","2,329","2,245","2,419","2,823","2,816","2,629","2,927","3,115","2,651","2,938","2,854","2,998","2,870","3,364","3,394","3,206","3,266"
