UF,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
AL, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
BA, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
CENTRO-OESTE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,"1,108", -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,"1,150","1,205","1,071","1,695","1,695","1,474","1,500","1,500","1,552","1,000","1,209","1,368"
MT, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
MS, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,"1,108", -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,"1,140","1,200","1,078","1,694","1,694","1,470","1,500","1,500","1,550","1,000","1,210","1,367"
GO, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
DF, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SUDESTE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
MG, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
ES, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
RJ, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SP, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SUL,940,971,920,"1,000","1,076",536,"1,036","1,040","1,202",937,"1,279","1,061","1,146","1,313","1,523","1,628","1,112","1,064","1,183","1,335","1,070","1,030","1,406",875,"1,331","1,110","1,460","1,374","1,328","1,448","1,176","2,090","2,088","1,957","2,536","2,370","2,362","2,362","2,027","1,879","2,912","1,891","2,213","2,312","2,357"
PR,"1,451","1,938","1,971","1,922","1,847",833,"1,470","1,095","1,502",977,"1,669","1,300","1,700","1,810","1,790","2,000","1,200","1,000","1,312","1,288","1,089",958,"1,408",654,"1,256","1,000","1,420","1,300","1,230","1,380","1,120","2,368","2,150","1,872","3,020","2,343","1,831","1,831","2,429","1,959","2,508","2,058","1,946","1,889","2,015"
SC,750,752,757,780,780,361,799,"1,131","1,200",800,"1,100",730,731,"1,541","1,550","1,500","1,179","1,095","1,045",902,913,855,779,818,845,887,970,970,980,980,910,, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
RS,837,952,888,932,"1,028",549,991,967,"1,100",969,"1,201","1,100","1,100","1,200","1,490","1,500","1,092","1,080",961,"1,561","1,065","1,187","1,577","1,595","1,694","1,550","1,880","1,885","1,990","2,000","1,450","1,920","2,049","2,006","2,300","2,383","2,682","2,682","1,770","1,840","3,020","1,849","2,293","2,452","2,468"
NORTE/NORDESTE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
CENTRO-SUL,940,971,920,"1,000","1,076",536,"1,036","1,040","1,202",937,"1,279","1,061","1,146","1,309","1,523","1,628","1,112","1,064","1,183","1,335","1,070","1,030","1,406",875,"1,331","1,110","1,460","1,374","1,328","1,448","1,176","2,090","2,088","1,931","2,464","2,310","2,339","2,339","2,000","1,853","2,840","1,862","2,116","2,209","2,258"
BRASIL,940,971,920,"1,000","1,076",536,"1,036","1,040","1,202",937,"1,279","1,061","1,146","1,309","1,523","1,628","1,112","1,064","1,183","1,335","1,070","1,030","1,406",875,"1,331","1,110","1,460","1,374","1,328","1,448","1,176","2,090","2,088","1,931","2,464","2,310","2,339","2,339","2,000","1,853","2,840","1,862","2,116","2,209","2,258"
