UF,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MT, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
MS, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,4.1, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,4.6,10,7.5,10,10,11.2,19.5,22.5,45,30,45.1,54.7
GO, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
DF, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SUDESTE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
MG, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
ES, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
RJ, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SP, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SUL,37.4,53.9,57.6,75.5,89.7,61.1,105.2,120.6,170.5,115.4,157.1,141.1,240.7,251.8,386.3,478.5,292.1,309,191.2,196.3,214.4,196.9,286.9,194.1,330.7,284.7,390.1,411,433.3,516.5,378,221.8,232.2,239.5,369,346,387.9,387.9,296.2,331.7,805.3,588.8,764.8,834,846.6
PR,10.3,6.2,6.9,14.8,18.1,14,29.1,23,38.3,25.8,43.4,31.2,57.8,54.3,45.6,150,49.2,60,130,113,147,110.5,199.9,103.3,223.9,183,289.7,299,316.8,394.5,265.8,95,91.2,85,143.8,112.7,113,113,138.7,113.8,146,129.9,155.3,169.3,177.5
SC,2.4,7.9,10.3,12.8,12.8,12.1,20.3,39.6,49.8,20,27.5,19.7,21.2,15.1,15.7,30,9.9,9.2,13.8,12.9,13.6,9.7,10.4,11.7,12.1,16.4,19.6,19.6,19.4,19,16.6, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
RS,24.7,39.8,40.4,47.9,58.8,35,55.8,58,82.4,69.6,86.2,90.2,161.7,182.4,325,298.5,233,239.8,47.4,70.4,53.8,76.7,76.6,79.1,94.7,85.3,80.8,92.4,97.1,103,95.6,126.8,141,154.5,225.2,233.3,274.9,274.9,157.5,217.9,659.3,458.9,609.5,664.7,669.1
NORTE/NORDESTE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
CENTRO-SUL,37.4,53.9,57.6,75.5,89.7,61.1,105.2,120.6,170.5,115.4,157.1,141.1,240.7,255.9,386.3,478.5,292.1,309,191.2,196.3,214.4,196.9,286.9,194.1,330.7,284.7,390.1,411,433.3,516.5,378,221.8,232.2,244.1,379,353.5,397.9,397.9,307.4,351.2,827.8,633.8,794.8,879.1,901.3
BRASIL,37.4,53.9,57.6,75.5,89.7,61.1,105.2,120.6,170.5,115.4,157.1,141.1,240.7,255.9,386.3,478.5,292.1,309,191.2,196.3,214.4,196.9,286.9,194.1,330.7,284.7,390.1,411,433.3,516.5,378,221.8,232.2,244.1,379,353.5,397.9,397.9,307.4,351.2,827.8,633.8,794.8,879.1,901.3
